input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,decimal,divide_by_4,divide_by_6,divide_by_9
1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,626672,1,0,0
1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,799611,0,0,0
1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,706202,0,0,0
0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,250136,1,0,0
1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,903150,0,1,1
1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,846566,0,0,0
1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,759237,0,0,0
0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,48145,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,958579,0,0,0
0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,184279,0,0,0
0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,14077,0,0,0
0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,410241,0,0,0
0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,115577,0,0,0
1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1036860,1,1,0
0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,395878,0,0,0
1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,980411,0,0,0
1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,567201,0,0,0
0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,7968,1,1,0
0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,51513,0,0,0
1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,552423,0,0,0
1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,609622,0,0,0
0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,338790,0,1,0
1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,999632,1,0,0
0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,515389,0,0,0
1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,855196,1,0,0
0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,160993,0,0,0
1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,553710,0,1,0
1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,698529,0,0,0
0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,90707,0,0,0
1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,953663,0,0,0
0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,120415,0,0,0
1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,722952,1,1,1
1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,784489,0,0,0
0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,91718,0,0,0
1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,789265,0,0,0
0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,227288,1,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,270381,0,0,0
1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,627972,1,1,0
0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,27356,1,0,0
0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,318858,0,1,0
1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,970873,0,0,0
0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,183477,0,0,0
0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,445970,0,0,0
0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,420786,0,1,1
1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,730042,0,0,0
1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1022234,0,0,0
1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,881383,0,0,0
